BRAND,MODEL,VARIANT,MPG,TRANSMISSION,DOORS,SUBMODEL,MSRP
Nissan,Murano,SV 4dr SUV (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,32620
Nissan,NV200,S 4dr Minivan (2.0L 4cyl CVT),Highway:26;City:24,AUTOMATIC,4,NV200 Minivan,20720
Nissan,NV200,SV 4dr Minivan (2.0L 4cyl CVT),Highway:26;City:24,AUTOMATIC,4,NV200 Minivan,21710
Nissan,Rogue,S w/Prod. End 12/31 4dr SUV AWD (2.5L 4cyl CVT),Highway:32;City:25,AUTOMATIC,4,Rogue SUV,24140
Nissan,Rogue,SV 4dr SUV AWD (2.5L 4cyl CVT),Highway:32;City:25,AUTOMATIC,4,Rogue SUV,25840
Nissan,Rogue,SL 4dr SUV AWD (2.5L 4cyl CVT),Highway:32;City:25,AUTOMATIC,4,Rogue SUV,29630
Nissan,Rogue,SL 4dr SUV (2.5L 4cyl CVT),Highway:33;City:26,AUTOMATIC,4,Rogue SUV,28280
Nissan,Rogue,SV 4dr SUV (2.5L 4cyl CVT),Highway:33;City:26,AUTOMATIC,4,Rogue SUV,24490
Nissan,Rogue,S 4dr SUV AWD (2.5L 4cyl CVT),Highway:32;City:25,AUTOMATIC,4,Rogue SUV,24390
Nissan,Rogue,S w/Prod End 12/31 4dr SUV (2.5L 4cyl CVT),Highway:33;City:26,AUTOMATIC,4,Rogue SUV,22790
Porsche,911,Turbo S 2dr Convertible AWD (3.8L 6cyl Turbo 7AM),Highway:24;City:17,AUTOMATED MANUAL,2,911 Convertible,194600
Porsche,911,Carrera 4S 2dr Convertible AWD (3.8L 6cyl 7M),Highway:26;City:18,MANUAL,2,911 Convertible,117530
Porsche,911,Carrera S 2dr Convertible (3.8L 6cyl 7M),Highway:27;City:19,MANUAL,2,911 Convertible,110800
Porsche,911,Carrera GTS 2dr Coupe (3.8L 6cyl 7M),Highway:26;City:18,MANUAL,2,911 Coupe,114200
Porsche,911,Turbo 2dr Coupe AWD (3.8L 6cyl Turbo 7AM),Highway:24;City:17,AUTOMATED MANUAL,2,911 Coupe,151100
Porsche,911,Carrera S 2dr Coupe (3.8L 6cyl 7M),Highway:27;City:19,MANUAL,2,911 Coupe,98900
Porsche,911,Carrera 4S 2dr Coupe AWD (3.8L 6cyl 7M),Highway:26;City:18,MANUAL,2,911 Coupe,105630
Porsche,911,Turbo 2dr Convertible AWD (3.8L 6cyl Turbo 7AM),Highway:24;City:17,AUTOMATED MANUAL,2,911 Convertible,163000
Porsche,911,Carrera GTS 2dr Convertible (3.8L 6cyl 7M),Highway:25;City:18,MANUAL,2,911 Convertible,126100
Porsche,911,Turbo S 2dr Coupe AWD (3.8L 6cyl Turbo 7AM),Highway:24;City:17,AUTOMATED MANUAL,2,911 Coupe,182700
Porsche,911,Targa 4 2dr Coupe AWD (3.4L 6cyl 7M),Highway:26;City:18,MANUAL,2,911 Coupe,101600
Porsche,911,Carrera 4 2dr Convertible AWD (3.4L 6cyl 7M),Highway:26;City:19,MANUAL,2,911 Convertible,102930
Porsche,911,Targa 4S 2dr Coupe AWD (3.8L 6cyl 7M),Highway:26;City:18,MANUAL,2,911 Coupe,116200
Porsche,911,Carrera 4 2dr Coupe AWD (3.4L 6cyl 7M),Highway:27;City:19,MANUAL,2,911 Coupe,91030
Porsche,911,Carrera 4 GTS 2dr Convertible AWD (3.8L 6cyl 7M),Highway:25;City:18,MANUAL,2,911 Convertible,132800
Porsche,911,Carrera 2dr Convertible (3.4L 6cyl 7M),Highway:27;City:19,MANUAL,2,911 Convertible,96200
Porsche,911,Targa 4 GTS 2dr Coupe AWD (3.8L 6cyl 7M),Highway:;City:,MANUAL,2,911 Coupe,132800
Porsche,911,Carrera 4 GTS 2dr Coupe AWD (3.8L 6cyl 7M),Highway:26;City:18,MANUAL,2,911 Coupe,120900
Porsche,911,Carrera 2dr Coupe (3.4L 6cyl 7M),Highway:27;City:19,MANUAL,2,911 Coupe,84300
Porsche,Boxster,2dr Convertible (2.7L 6cyl 6M),Highway:30;City:20,MANUAL,2,Boxster Convertible,51400
Porsche,Boxster,S 2dr Convertible (3.4L 6cyl 6M),Highway:28;City:20,MANUAL,2,Boxster Convertible,63300
Porsche,Boxster,GTS 2dr Convertible (3.4L 6cyl 6M),Highway:26;City:19,MANUAL,2,Boxster Convertible,73500
Acura,ILX,Premium Package 4dr Sedan (2.0L 4cyl 5A),Highway:35;City:24,AUTOMATIC,4,ILX Sedan,29200
Acura,ILX,4dr Sedan (2.0L 4cyl 5A),Highway:35;City:24,AUTOMATIC,4,ILX Sedan,26900
Acura,ILX,Technology Package 4dr Sedan (2.0L 4cyl 5A),Highway:35;City:24,AUTOMATIC,4,ILX Sedan,31600
Acura,MDX,SH-AWD 4dr SUV AWD (3.5L 6cyl 6A),Highway:27;City:18,AUTOMATIC,4,MDX SUV,44290
